"THREAD_ID","EVENT_ID","END_EVENT_ID","EVENT_NAME","SOURCE","TIMER_START","TIMER_END","TIMER_WAIT","LOCK_TIME","SQL_TEXT","DIGEST","DIGEST_TEXT","CURRENT_SCHEMA","OBJECT_TYPE","OBJECT_SCHEMA","OBJECT_NAME","OBJECT_INSTANCE_BEGIN","MYSQL_ERRNO","RETURNED_SQLSTATE","MESSAGE_TEXT","ERRORS","WARNINGS","ROWS_AFFECTED","ROWS_SENT","ROWS_EXAMINED","CREATED_TMP_DISK_TABLES","CREATED_TMP_TABLES","SELECT_FULL_JOIN","SELECT_FULL_RANGE_JOIN","SELECT_RANGE","SELECT_RANGE_CHECK","SELECT_SCAN","SORT_MERGE_PASSES","SORT_RANGE","SORT_ROWS","SORT_SCAN","NO_INDEX_USED","NO_GOOD_INDEX_USED","NESTING_EVENT_ID","NESTING_EVENT_TYPE","NESTING_EVENT_LEVEL"
40,10,10,statement/sql/select,"",4610712741519000,4610713121446000,379927000,256000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
41,10,10,statement/sql/select,"",4610712894814000,4610713127358000,232544000,119000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
42,10,10,statement/sql/select,"",4610712794980000,4610713130398000,335418000,220000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
43,10,10,statement/sql/select,"",4610713010686000,4610713228637000,217951000,111000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
39,10,10,statement/sql/select,"",4610713053614000,4610713274205000,220591000,113000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
44,10,10,statement/sql/select,"",4610713058664000,4610713306706000,248042000,140000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
42,20,20,statement/sql/select,"",4610748224456000,4610748783761000,559305000,200000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
42,30,30,statement/sql/select,"",4610849597485000,4610849787147000,189662000,70000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
42,40,40,statement/sql/select,"",4610948146167000,4610948302051000,155884000,54000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
42,50,50,statement/sql/select,"",4611046588450000,4611046738277000,149827000,51000000,"SELECT COUNT(*) AS AutorMateria 
FROM TR_Alumnos 
WHERE IdUsr = 'U3107' 
AND IdMat IN (
SELECT IdMat 
FROM TB_MateriasGrado 
WHERE Grado IN ('1', '2') 
AND IdProgramaAcademico = 'PA1'
)","5c75ba23ffa78b5c8b7c21d68e80a469",SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) ,diamante,,,,,0,,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
