"","DIGEST","DIGEST_TEXT"
"3432","56d7884e730dbc63c11a670d0ea56af7","SELECT DISTINCTROW `IdUsr` FROM `TP_Usuarios` WHERE `Identif` = ? AND `IdCat` IN (...) "
"3145","75eec6bd2918bd085c2f275fa121edd8","SELECT `IdUsr` , `IdCat` FROM `TP_Usuarios` WHERE `Identif` = ? AND `IdCat` IN (...) "
"4127","097a1c6eea34b3ea2ddaa80d28eb40d1","SELECT `TP_Usuarios` . `IdUsr` FROM `TP_Usuarios` , `TR_CodirectorTutorInterno` WHERE `TR_CodirectorTutorInterno` . `IdUsr` = `TP_Usuarios` . `IdUsr` AND `TR_CodirectorTutorInterno` . `Tipo` = ? AND `TP_Usuarios` . `IdUsr` = ? AND `TR_CodirectorTutorInterno` . `IdProyecto` = ? "
"1652","305a30a0b6adc9155160ed9ef69b2b46","SELECT `Nota` , `ComentProfe` FROM `TR_NotaTallerExamen` WHERE `IdUsr` = ? AND `IdTaller` = ? AND `IdGuionClase` = ? "
"4128","dad28a851a32259cc137b504b577ce41","SELECT `TR_CodirectorTutorAutorExterno` . `IdExterno` FROM `TR_CodirectorTutorAutorExterno` , `TP_Externos` WHERE `TR_CodirectorTutorAutorExterno` . `IdProyecto` = ? AND `TR_CodirectorTutorAutorExterno` . `IdExterno` = `TP_Externos` . `IdExterno` AND `TR_CodirectorTutorAutorExterno` . `IdExterno` = ? AND `TR_CodirectorTutorAutorExterno` . `Tipo` = ? "
"2005","5c75ba23ffa78b5c8b7c21d68e80a469","SELECT COUNT ( * ) AS `AutorMateria` FROM `TR_Alumnos` WHERE `IdUsr` = ? AND `IdMat` IN ( SELECT `IdMat` FROM `TB_MateriasGrado` WHERE `Grado` IN (...) AND `IdProgramaAcademico` = ? ) "
"952","27b8e1c66a3b3ae5877b3d02a7649bdb","SELECT `IdGrupClase` FROM `TR_CalifTalleres_Examenes` WHERE `IdGuionClase` = ? AND `IdTaller` = ? AND `IdGrupClase` IN ( SELECT DISTINCTROW `TR_GrupClaseEst` . `IdGrupClase` FROM `TR_GrupClaseEst` , `TR_GruposClase` WHERE `TR_GruposClase` . `IdMat` = ? AND `IdGuionClase` = ? AND `TR_GruposClase` . `IdGrupClase` = `TR_GrupClaseEst` . `IdGrupClase` AND `TR_GrupClaseEst` . `IdUsr` IN ( SELECT `IdUsr` FROM `TR_GrupClaseEst` WHERE `IdGrupClase` = ? ) ) "
"3418","604eb050d64885bf809075ab3c971b84","SELECT `Documento` FROM `TB_Hojadevida` WHERE `Tipo` = ? AND `Estado` = ? AND `Documento` = ? "
"401","ab57a5f2ff676b7c3bffcdbc9042fa7f","SELECT `CONCAT` ( `TP_Externos` . `PrimNomExt` , ? , `TP_Externos` . `SegNomExt` , ? , `TP_Externos` . `PrimApeExt` , ? , `TP_Externos` . `SegApeExt` ) AS `Nombre` FROM `TP_Externos` , `TR_CodirectorTutorAutorExterno` WHERE `TP_Externos` . `IdExterno` = `TR_CodirectorTutorAutorExterno` . `IdExterno` AND `IdProyecto` = ? AND `TR_CodirectorTutorAutorExterno` . `Tipo` = ? "
"233","ae8ff440992962de88e72a1101f6abfe","SELECT * FROM `TB_GrupoMenu` WHERE `Estado` = ? AND `MenuPred` = ? AND `IdGrupMenu` IN ( SELECT `IdGrupMenu` FROM `TR_TipoGrupoMenu` WHERE `IdTipoGrupo` = ? ) AND `IdGrupMenu` IN ( SELECT `IdGrupMenu` FROM `TR_GrupoMenuProtegido` WHERE `IdGrupo` = ? AND `Protegido` = ? ) ORDER BY `Peso` ASC "
"395","e1762bebcf7e289e297ebd2207dbd3b7","SELECT `U` . `IdUsr` , `A` . `IdProyecto` , `A` . `EstadoAutor` , `A` . `FechaAval` , `U` . `CorreoUsr` , `CONCAT` ( `IFNULL` ( `PrimNomUsr` , ? ) , ? , `IFNULL` ( `SegNomUsr` , ? ) , ? , `IFNULL` ( `PrimApeUsr` , ? ) , ? , `IFNULL` ( `SegApeUsr` , ? ) ) AS `NombreCompleto` , `A` . `IdProgramaAcademico` , `PA` . `NombrePrograma` , `U` . `CodEst` FROM `TR_Autores` `A` , `TP_Usuarios` `U` , `TB_ProgramaAcademico` `PA` WHERE `A` . `IdProyecto` = ? AND `U` . `IdUsr` = `A` . `IdUsr` AND `EstadoAutor` != ? AND `A` . `IdProgramaAcademico` = `PA` . `IdProgramaAcademico` "
"397","c10fe1c4dab8321c14662ea2ca88d43e","SELECT `U` . `IdExterno` , `A` . `IdProyecto` , `U` . `CorreoExt` , `CONCAT` ( `PrimNomExt` , ? , `SegNomExt` , ? , `PrimApeExt` , ? , `SegApeExt` ) AS `NombreCompleto` FROM `TR_CodirectorTutorAutorExterno` `A` , `TP_Externos` `U` WHERE `A` . `IdProyecto` = ? AND `U` . `IdExterno` = `A` . `IdExterno` AND `A` . `Tipo` = ? "
"1479","e35d219d527b5eb786ad62b230adb292","SELECT DISTINCTROW `rcta` . `IdGrupClase` FROM `TR_CalifTalleres_Examenes` `rcta` , `TR_GruposClase` `rgc` , `TR_GrupClaseEst` `rgce` WHERE `rcta` . `IdGuionClase` = ? AND `rcta` . `IdTaller` = ? AND `rcta` . `IdGrupClase` = `rgc` . `IdGrupClase` AND `rgc` . `IdMat` = ? AND `rgc` . `Grupo` = ? AND `rgc` . `IdGuionClase` = ? AND `rgc` . `IdGrupClase` = `rgce` . `IdGrupClase` AND `rgce` . `IdUsr` = ? "
"1478","4b8d1aee8d27be43b0eb922d8d69bf87","SELECT `rcte` . `IdPregunta` FROM `TR_CalifTalleres_Examenes` `rcte` , `TR_GruposClase` `rgc` , `TR_GrupClaseEst` `rgce` WHERE `rcte` . `Estado` = ? AND `rcte` . `IdGuionClase` = ? AND `rcte` . `IdTaller` = ? AND `rcte` . `IdGrupClase` = `rgc` . `IdGrupClase` AND `rgc` . `IdGrupClase` = `rgce` . `IdGrupClase` AND `rgce` . `IdUsr` = ? GROUP BY `IdPregunta` "
"99","da72900854e78069a0dc15245ddd563a","SELECT DISTINCTROW `pcav` . `IdCartelera` , `pcav` . `Titular` , `pcav` . `FecPublicacion` , `pcav` . `Resumen` , `pcav` . `VerA` , `pcav` . `FecVencimiento` , `pcav` . `Comentario` , `pu` . `Foto` , `CONCAT` ( `pu` . `PrimNomUsr` , ? , `pu` . `PrimApeUsr` ) AS `NombreResumen` , `pcav` . `Grupo` , `CONCAT` ( `pu` . `PrimNomUsr` , ? , `pu` . `SegNomUsr` , ? , `pu` . `PrimApeUsr` , ? , `pu` . `SegApeUsr` ) AS `NombreCompleto` FROM `TP_CarteleraAulaVirtual` `pcav` , `TP_Usuarios` `pu` WHERE `pcav` . `Estado` = ? AND `pcav` . `IdUsr` = `pu` . `IdUsr` AND `pcav` . `IdGuionClase` = ? AND `pcav` . `FecVencimiento` >= CURDATE ( ) AND `pcav` . `FecPublicacion` <= CURDATE ( ) AND `pcav` . `Idcartelera` NOT IN ( SELECT `IdCartelera` FROM `TR_NotasVistas` WHERE `IdUsr` = ? ) AND ( ( `pcav` . `VisualizarA` LIKE ? AND `pcav` . `VerA` = ? ) OR ( `pcav` . `idusr` = ? ) ) ORDER BY `FecPublicacion` "
"2348","8116fbe1acb7c80925952211fd5c75b2","SELECT `IdCorreo` , `Email` , `Asunto` , `Mensaje` FROM `TP_Correo` "
